Unnamed: 0,Title,Poem,Poet,Tags,location,year
22,"

                    What It Was Like

                ","

If they ask what it was like, say it was like the sea

rolling barrels of itself at you in the shadowless light of the shore,

say it was like a spider, black as night, large as a campesino’s hand,

a deepness that could balance a small world of dirt as easily as a gift

of gleaming red tomatoes held out to you eight at a time.

If they ask you how it felt, say solitary,

at first the ease of sleeping alone, warm without even a sheet,

then the nonchalance of a dirt road leading down the hill, its dust

raised and re-raised in plumes as each guest departed,

and later, say it was like the blind cat that came out of nowhere

to lie on your tile floor, lifting its face to stare with white marble eyes.

If they ask what you heard, tell them the single note of the watchman,

who coughed his one syllable when you went to bed,

and at the end of every dream when you woke with a simple plea—stay, go—again, the cough of the watchman.

If they ask about thirst, tell them no one could carry water as far

as it had to go, so that when it was time to rest,

people went to the spigot at the edge of the train tracks

and cupped their hands under the water, lowering their faces to drink.

Tell them a man could stand at noon in the park wearing nothing but underwear

and beg for hours with his cup empty.

Tell them you could sit quietly while phrases you didn't know you knew

rose up in the language there and on an undisturbed lake in your mind

you could back float—that weightless prayer that praysLet me die with my toes pointing up at the sun.

When they ask what people will eventually get around to asking,

How was the food? Tell them batata, mamón, guanábana, maní,

indigenous crops exchanging places with hunger,

giving up to the dark store window whose inventory is one hand

of bananas sold one banana at a time, giving up to little pyramids of limes

by the side of the road and the kids who tend them, dreaming

of a few coins tossed down in the dirt.

 

",Barbara Ras,Money & Economics,Massachusetts,1969
23,"

                    All

                ","

The prisoner can’t go any longer, but he does.

The beggar can’t go on begging, but watch—

Tomorrow he’ll be in the alley, holding out a bowl

To everyone, to even a young, possibly poorer, child.

The mother can’t go on believing,

But she will kneel for hours in the cathedral,

Holding silence in her arms.

The rain goes on, daily, sometimes, and we cry,

As often as not alone.

The fishmonger, the bell ringer, the cook, each

Can be corrupted in a less than dire way.

Nothing can replace the sea breezes you were born to.

Nothing can stay the shy ache in the palm

you hold out to the fortune-teller.

The concrete lions on her steps go on

Making bloodless journeys, they go on

Hunting in air longer than any of you will live to watch,

Hunting still after your futures become all irises

and blamelessness.

 

",Barbara Ras,"Life Choices,Faith & Doubt",Massachusetts,1969
24,"

                    Sleeping with Butler’s Lives of the Saints

","







After Octavio Paz







What’s most human must drive

an arrow to the heart.

 

Ghosts, too, must abide by this directive

& remain transparent,

 

going about their business in old houses.

Before I was an I, I longed to be ethereal.

 

Sprouting wings at will & gliding through

cul-de-sacs and malls around the valley.

 

My hands, too, would gradually disappear

followed by my arms, then neck & head

 

until my whole body was slight as allergen.

Before I was an I, I spoke an old language

 

that would return on drowsy afternoons.

Therefore I struggled to say

 

the simplest sentences. So much so

that the maligned semicolon

 

became an ardent ally, an island

of pause and the deep breath.

 

The comma, too, bless its tiny soul,

was the crumb which the god

 

of small favors multiplied

tenfold for my morning pie.

 

Before I was an I, knowledge

clung to me like burrs & hunger

 

guided my ship like the barefoot light                on the sleeping land & sea.

 

",Eugene Gloria,"Language & Linguistics,Poetry & Poets",Philippines,1977
25,"

                    Hoodlum Birds

                ","

The fearless blackbirds see me again

at the footpath beside the tall grasses

sprouting like unruly morning hair.

They caw and caw like vulgar boys

on street corners making love to girls

with their “hey mama

this” and their “hey mama that.”

But this gang of birds is much too slick.

They are my homeys of the air

with their mousse-backed hair and Crayola

black coats like small fry hoods who smoke

and joke about each other’s mothers,

virginal sisters, and the sweet arc of revenge.

These birds spurn my uneaten celery sticks,

feckless gestures, ineffective hosannas.

They tag one another, shrill and terrible,

caroling each to each my weekly wages.

But they let me pass, then flit away.

They won’t mess with me this time—

they know where I live.

 

",Eugene Gloria,Animals,Philippines,1977
30,"

                    Face

                ","

Imagine half your face

rubbed out yet

you are suited up

and walking

to the office.

 

How will your mates

greet you?

with heavy hearts,

flowers,

rosary beads?

How shall we greet

the orphan boy,

the husband whose hand

slipped, children

and wife swept away?

 

How to greet

our new years

and our birthdays?

Shall we always

light a candle?

 

Do we remember

that time erases

the shore, grass

grows, pain’s

modified?

 

At Hikkaduwa

in 1980 I wrote a ditty,

a sailor’s song

about rain

in sunny Ceylon.

 

I don’t know

what Calypsonians

would compose

about this monstrous

wave, this blind hatchet man;

 

don’t know

the Baila singers’ reply;

we are a “happy and

go” people

yet the fisherman’s wife

 

knows

that her grandfather

was eaten by the ocean—

fisher communities

have suffered in time

 

and what’s happened

now is just another feast

for that bloody,

sleeping mother

lapping at our island;

 

but what if the ocean

were innocent,

the tectonic plates

innocent, what if God

were innocent?

 

               *

 

I do not know

how to walk upon the beach,

how to lift corpse

after corpse

until I am exhausted,

 

how to stop the tears

when half my face

has been rubbed out

beyond

the railroad tracks

 

and this anaesthetic,

this calypso come

to the last verse.

What shall we write

in the sand?

 

Where are gravestones

incinerated? Whose

ashes are these urned

and floating through a house

throttled by water?

 

Shall we build

a memorial

some calculated distance

from the sea, in a park,

in the shape of a giant wave

 

where we can write

the names of the dead?

Has the wave lost

its beauty? Is it now

considered obscene?

 

               *

 

Yet tomorrow

we must go to the ocean

and refresh ourselves

in the sea breeze

down in Hikkaduwa

 

where it is raining

in sunny Ceylon.

Tomorrow, we must

renew our vows

at sunrise, at sunset.

 

Let us say the next time

the ocean recedes

and parrots gawk

and flee, and restless

dogs insist their humans

 

wake up, we will not peer

at the revelation

of the ocean bed,

nor seek photographs.

We will run to higher ground,

 

and gathered there

with our children,

our cats, dogs,

pigs, with what we’ve

carried in our hands

 

—albums, letters—

we will make a circle,

kneel, sit,

stand in no particular

direction, pray

 

and be silent,

open our lungs

and shout thanks

to our gods

thanks to our dogs.

 

",Indran Amirthanayagam,Sorrow & Grieving,Sri Lanka,1980
31,"

                    Order

                ","

Jesus did not ride that monstrous wave,

not Yahweh, Jah, Allah, none of the major

 

Gods or the minor ones, not even the godless

strode that bugger which sliced our lives

 

in two: the past where we danced ballroom

while the children played carom, and mangos

 

stained our lapels, and today, hobbling,

scavenging in ash heaps, how easy

 

the arithmetic, day and night, two by two.

Bring on the mind workers.

 

Let a thousand doctors bloom.

I lived right here on the x, my name

 

is blue: sea green blue blue green

I do not speak in tongues. I am not

 

disordered, a babbler. I did not lose

anybody close to me, just 30,000

 

fellow island bees, not to worry, machan,

old fellow, I will subscribe tomorrow,

 

the order of every day, skip and jump rope,

whistle, talk to aid workers, even swim.

 

",Indran Amirthanayagam,Faith & Doubt,Sri Lanka,1980
32,"

                    The City, with Elephants

                ","

The elephants of reckoning

are bunches of scruff

men and women picking up

thrown out antennae

from the rubbish

bins of the city

 

to fix on their tubular

bells and horn about

by oil can fires

in the freezing midnight

of the old new year

 

We ride by their music

every hour in cabs on trains

hearing the pit pat

of our grown-wise pulse

shut in shut out

 

from the animals

of the dry season

the losers and boozers,

we must not admit our eyes

into the courtyard

 

the whimsy of chance

and our other excuses—

dollars in pocket—

to write beautiful songs

is all I ask, God

 

to do right with friends

and love a woman

and live to eighty

have people listen

to the story of my trip to America

 

The elephants of reckoning

are beaten and hungry

and walk their solitary horrors

out every sunrise slurping

coffee bought with change

 

while in some houses

freedom-bound lovers

embrace late and read Tagore

about the people working

underneath the falling of empires.

 

",Indran Amirthanayagam,"Travels & Journeys,Class",Sri Lanka,1980
33,"

                    Words for the Sri Lanka Tourist Office

                ","

The King Cobra slides

through our jungles,

and tucked in bushes

by the riverbanks

the grand Kabaragoya

holds court among lizards—

 

but if you want to swim

at Mount Lavinia, or fly kites

on Galle Face Green, or ride

horse carts in the Jaffna peninsula

of your ancestors, or bear a child

in Colombo General Hospital,

 

or sleep in Cinnamon Gardens

under a mango tree,

or beg in the Borella Market,

or ride for historical reasons

on patrol boats in the Bay,

or stilt-fish off Matara down South,

 

just remember here everywhere

 

there is only man burning

and woman burning

 

here everywhere

 

in shallow graves

in deep graves

floating out of salt water

washing down the sands

 

the dead have tongues

the dead have ears

tongues are speaking to ears

 

What are they saying?

What are they saying?

 

Tell us, brown bear

bolting out of your cave.

 

Tell us, leopard

leaning on your branch.

 

Tell us, flamingos.

Bend your necks

and pour wine pour wine

 

Hoopoes, kingfishers,

cranes, have you got your messages

on the bill, are you ready

to sing? Are you going to sing?

 

Monsoon.

 

Are you going to sing?

 

Monsoon.

 

Are you going to sing?

 

Monsoon. Monsoon.

 

",Indran Amirthanayagam,Weather,Sri Lanka,1980
34,"

                    Kiss

                ","

Kissing your lips

I try to forget roses

or the fruit of palmyra trees

sweet and strong

 

Tongue lolling upon tongue

heart beating

against heart beating,

these are my words

signifying our human bodies

which poetry does not capture,

the absolute desire I have

to kiss your lips

on this hot and sunny afternoon.

 

I do not know how much longer

I can walk about the garden

kissing roses,

 

or perambulate the toddy tavern of my dreams

where black faces and white toddy mix

in black and white memories

of Jaffna, Sri Lanka,

my Tamil countrymen

far away on an island across the sea.

 

Far away and far away

the palmyra fruit and your lips.

To drink toddy now.

To kiss your rosy lips now.

To uproot the roses in my garden

and offer them upon my tongue now.

 

To fly to Sri Lanka

and grab the last fruit on the tree

before history throws the Tamils into the sea

as is said it will do;

 

before all this and everything else,

before the apocalypse,

I do so sincerely wish,

though my words may not fit,

to rest my head in your hair

and kiss your lips.

 

",Indran Amirthanayagam,Realistic & Complicated,Sri Lanka,1980
35,"

                    hamsters are heads with little characteristics on the head, part one

                ","

in florida a giant hamster lays in bed worrying about its future

the hamster has bad eyesight

and many other problems

later that night the hamster drives its car around

listening to sad music; the master lightly drums its paws on the steering wheel

the hamster is alone

but not for long: at home three waffle friends wait

cooling inside a countertop oven in the kitchen

 

",Tao Lin,Pets,Virginia,2003
36,"

                    hamsters are heads with little characteristics on the head, part three

                ","

in the evening the hamster sits at the computer

watermelon juice and coffee sit by the computer

the hamster drinks all of the coffee

after a few minutes the hamster drinks all of the watermelon juice

the hamster lays its paw atop a neatly folded to-do list; this is a resourceful hamster

with a strong will, a sincere and loving hamster friend, and a confident nature

we do not need to spend any more time or empathy on this hamster

 

",Tao Lin,Pets,Virginia,2003
37,"

                    thirteen of twenty-four

                ","

notice how my forehead approaches you at a high speed

notice the contortions on my face; hear and feel the impact

of my forehead against your eyebrow

never get angry if someone doesn’t do things for you

react to disappointment by being quiet and nice

and alone, not by being confrontational or frustrated

in 1952 a DSM copy-editor removed ‘headbutting’

from the entry for ‘psychopathic behavior’

thereafter the headbutt has thrived

across all social, political, and elementary school gym classes

today the headbutt is a sign of friendship, stability, and inner calm

the exponential effect of your repeated lies makes me afraid what will happen

to us; ‘the perfect headbutt’ destroys both participants and impresses

even the severely disillusioned, and the phrase ‘giant poem’ reverberates

through my head with the austerity of ancient ruins, the off-centered beauty

of repressed veganism, and the lord of the rings trilogy

I forgot what this poem was about

 

",Tao Lin,The Body,Virginia,2003
38,"

                    Turtle Came to See Me

                ","

The first story I ever write

is a bright crayon picture

of a dancing tree, the branches

tossed by island wind.

I draw myself standing beside the tree,

with a colorful parrot soaring above me,

and a magical turtle clasped in my hand,

and two yellow wings fluttering

on the proud shoulders of my ruffled

Cuban rumba dancer's

fancy dress.

In my California kindergarten class,

the teacher scolds me: REAL TREES

DON'T LOOK LIKE THAT.

It's the moment

when I first

begin to learn

that teachers

can be wrong.

They have never seen

the dancing plants

of Cuba.

 

",Margarita Engle,,California,1971
39,"

                    Kinship

                ","

Two sets

of family stories,

one long and detailed,

about many centuries

of island ancestors, all living

on the same tropical farm...

The other side of the family tells stories

that are brief and vague, about violence

in the Ukraine, which Dad's parents

had to flee forever, leaving all their

loved ones

behind.

They don't even know if anyone

survived.

When Mami tells her flowery tales of Cuba,

she fills the twining words with relatives.

But when I ask my

Ukrainian-Jewish-American grandma

about her childhood in a village

near snowy Kiev,

all she reveals is a single

memory

of ice-skating

on a frozen pond.

Apparently, the length

of a grown-up's

growing-up story

is determined

by the difference

between immigration

and escape.

 

",Margarita Engle,,California,1971
40,"

Ritmo/Rhythm

                ","

Mad has decided to catch a vulture,

the biggest bird she can find.

 

She is so determined, and so inventive,

that by stringing together a rickety trap

of ropes and sticks, she creates

a puzzling structure that just might

be clever enough to trick a buzzard,

once the trap’s baited with leftover pork

from supper.

 

Mad and I used to do everything together,

but now I need a project all my own,

so I roam the green fields,

finding bones.

 

The skull of a wild boar.

The jawbone of a mule.

 

Older cousins show me

how to shake the mule’s quijada,

to make the blunt teeth

rattle.

 

Guitars.

Drums.

Gourds.

Sticks.

 

A cow bell.

A washboard.

Pretty soon, we have

a whole orchestra.

 

On Cuban farms, even death

can turn into

music.

 

",Margarita Engle,,California,1971
41,"

                    More Dangerous Air

                ","

Newsmen call it the Cuban Missile Crisis.

Teachers say it's the end of the world.

At school, they instruct us to look up

and watch the Cuban-cursed sky.

Search for a streak of light.

Listen for a piercing shriek,

the whistle that will warn us

as poisonous A-bombs

zoom close.

Hide under a desk.

Pretend that furniture is enough

to protect us against perilous flames.

Radiation. Contamination. Toxic breath.

Each air-raid drill is sheer terror,

but some of the city kids giggle.

They don't believe that death

is real.

They've never touched a bullet,

or seen a vulture, or made music

by shaking

the jawbone

of a mule.

When I hide under my frail school desk,

my heart grows as rough and brittle

as the slab of wood

that fails to protect me

from reality's

gloom.

",Margarita Engle,"Coming of Age,Social Commentaries,Cities & Urban Life,History & Politics,Race & Ethnicity,War & Conflict",California,1971
61,"

                    Human Knowledge

                ","

About the only thing I thought I knew

was that nothing I’d ever know would do

any good. Sunrise, say, or that the part

of the horse’s hoof that most resembles

a human palm is called the frog;

certain chords on the guitar of no mercantile use;

the abstruse circuitry of an envelope

quatrain; even the meaning of horripilation.

 

Sometimes on a flatland mound the ancients had made,

I took heart in the pointlessness of stars

and lay there until my teeth chattered.

I earned my last Boy Scout merit badge

building a birdhouse out of license plates

manufactured by felons in the big house.

No more paramilitary organizations for me,

I said, ten years before I was drafted.

 

I had skills. Sure-footedness and slick

fielding. Eventually I would learn to unhook

a bra one-handed, practicing on my friend,

his sister's worn over his T-shirt (I took

my turns too). One Easter Sunday I hid

through the church service among the pipes

of the organ and still did not have faith,

although my ears rang until Monday.

 

I began to know that little worth knowing

was knowable and faith was delusion.

I began to believe I believed in believing

nothing I was supposed to believe in,

except the stars, which, like me,

were not significant, except for their light,

meaning I loved them for their pointlessness.

I believed I owned them somehow.

 

A C major 7th chord was beautiful and almost rare.

The horse I loved foundered and had to be

put down. The middle rhyme in an envelope

quatrain was not imprisoned if it was right.

In cold air a nipple horripilates

and rises, the sun comes up and up and up,

a star that bakes the eggs

in a Boy Scout license plate birdhouse.

 

God was in music and music was God.

A drill sergeant seized me by my dog tag

chain and threatened to beat me

to a pile of bloody guts for the peace sign

I’d chiseled in the first of my two tags,

the one he said they’d leave in my mouth

before they zipped the body bag closed.

Yet one more thing I’d come to know.

 

He also said that Uncle Sam owned my ass,

no more true than my ownership

of the stars. I can play a C major 7th chord

in five or six places on the neck of a guitar.

A stabled horse’s frog degrades; a wild horse’s

becomes a callus, smooth as leather.

Stars are invisible in rainy weather,

something any fool knows, of course.

 

",Robert Wrigley,"Coming of Age,Stars, Planets, Heavens",Illinois,1971
62,"

                    Unfunky UFO

                ","

The first space shuttle launch got delayed until

Sunday, so we had to watch the shuttle’s return

to Earth in class instead—PS113’s paunchy black

& white rolled in, the antennae on top adjusted

sideways & down for better reception. That same

day, Garrett stole my new pencil box. That same

day, Cynthia peed her jeans instead of going

to the bathroom & letting Garrett steal her pencil

box. Both of us too upset to answer questions about

space flight, so we got sent to the back of the class.

I smelled like the kind of shame that starts a fight

on a Tuesday afternoon. Cynthia smelled like pee

& everyday Jordache. The shuttle made its slick way

back to Earth, peeling clouds from the monochromatic

sky & we all—even the astronomically marginal—

were winners. American, because a few days before,

a failed songwriter put a bullet in the president

in the name of Jodie Foster. The shuttle looked

like a bullet, only with wings & a cockpit, & when

it finally landed, the class broke into applause

& the teacher snatched a thinning American flag

from the corner, waved it back & forth in honor

of our wounded president & those astronauts.

 

",Adrian Matejka,"School & Learning,Stars, Planets, Heavens",Germany,2038
63,"

                    Illinois Abe Lincoln’s Hat

                ","

blacks painted onto bricks & split vinyl on the East Side,

jaws as tight as window locks with the curtains drawn

& behind that diligent fabric: blacks already tucked

into homemade forts—folding chairs, wobbly backbones

& the whole, snowy world waiting outside like ghost

stories whispered around the last sputtering match. & later,

top sheets pulled up over heads from fear of mirrors

at midnight or some backfired beater’s rusty pop pop pop

after the key twists at the edge of the week. No doubt:

Tuesday is the scariest day in Section 8, but Friday is right

after it in the suburbs. & after those trembling weekdays,

even more blacks with money disappearing & reappearing

as unexpectedly as poltergeists inside of TVs & haunted

trees with fast fingers in West Side yards. & still not

a wavelength of any kind for a black to put in the bank.

The inks in everybody’s hatted & contracting checkbooks

don’t change black. Some front-row architecture might.

Some guns, too, & their loud, colorful opportunities:

whatever version of black is inside a fist around a grip.

Not a color, really—more like the face a man makes in

the glinting face of a gun pointed at him every single day.

 

",Adrian Matejka,"Cities & Urban Life,Race & Ethnicity",Germany,2038
64,"

                    Collectable Blacks

                ","

This is the g-dropping vernacular

     I am stuck in. This is the polyphone

where my head is an agrarian gang

     sign pointing like a percussion mallet

to a corn maze in one of the smaller

     Indiana suburbs where there aren’t

supposed to be black folks. Be cool & try

     to grin it off. Be cool & try to lean

it off. Find a kind of black & bet on it.

     I’m grinning to this vernacular

like the big drum laugh tracks a patriotic

     marching band. Be cool & try to ride

the beat the same way me, Pryor,

     & Ra did driving across the 30th Street

Bridge, laughing at these two dudes

     with big afros like it’s 1981 peeing into

the water & looking at the stars. Right

     before Officer Friendly hit his lights.Face the car, fingers locked behind

     your heads. Right after the fireworks

started popping off. Do I need to call 

     the drug dog? Right after the rattling

windows, mosquitoes as busy in my ears

     as 4th of July traffic cops. Right before

the thrill of real planets & pretend planets

     spun high into the sky, Ra throwing up

three West Side fingers, each ringed

     by pyrotechnic glory & the misnomer

of the three of us grinning at the cop’s club

     down swinging at almost the exact same

time Pryor says, Cops put a hurting on your

     ass, man. & fireworks light up in the same

colors as angry knuckles if you don’t

     duck on the double. Especially on the West

Side—more carnivorous than almost any

     other part of Earth Voyager saw when

it snapped a blue picture on its way out

     of this violently Technicolor heliosphere.

 

",Adrian Matejka,"Cities & Urban Life,Crime & Punishment",Germany,2038
